BOREID,X,Y,Z,DEPTH,AZIMUTH,DIP,,,,,,,,
CMJP-04,142.821,-7968.821,183.369,626.9,0,-90,,,,,,,,
CMJP-06,87.950,-7083.788,183.958,645.05,0,-90,,,,,,,,
CMJP-07,1053.037,-7058.957,176.021,682.75,0,-90,,,,,,,,
CMJP-08,1270.199,-7195.251,170.998,598.2,0,-90,,,,,,,,
CMJP-09,728.409,-6876.554,178.172,636.6,0,-90,,,,,,,,
CMJP-10,1286.920,-6473.490,178.370,541.9,0,-90,,,,,,,,
CMJP-11,1845.874,-6931.653,170.285,465.55,0,-90,,,,,,,,
CMJP-13,-842.943,-7712.339,184.869,847.55,0,-90,,,,,,,,
CMJP-14,976.734,-6318.358,180.920,745,0,-90,,,,,,,,    
CMJP-15,-972.847,-7354.898,183.219,769.5,0,-90,,,,,,,,
CMJP-16,55.909,-6673.975,178.505,775.55,0,-90,,,,,,,,
CMJP-17,117.977,-5873.126,155.975,752.2,0,-90,,,,,,,,
CMJP-18,-347.147,-6879.530,170.985,802.55,0,-90,,,,,,,,
CMJP-19,619.140,-5845.919,163.640,575.75,0,-90,,,,,,,,
CMJP-20,-344.487,-6350.427,169.685,771,0,-90,,,,,,,,
CMJP-21,-613.381,-6654.236,167.760,763.55,0,-90,,,,,,,,
CMJP-25,1926.690,-8651.510,173.700,714.5,0,-90,,,,,,,,
CMJP-26,2187.240,-8073.740,166.040,513.05,0,-90,,,,,,,,
CMJP-27,917.050,-8499.220,171.980,604.6,0,-90,,,,,,,,
CMJP-28,1238.070,-8257.390,170.490,577,0,-90,,,,,,,,
CMJP-29,1782.310,-7786.570,163.170,508.3,0,-90,,,,,,,,
CMJP-30,2264.950,-7584.480,159.770,478.5,0,-90,,,,,,,,
CMJP-31,-1222.350,-7724.540,181.480,694.15,0,-90,,,,,,,,
CMJP-34,1221.650,-6777.830,174.950,605.3,0,-90,,,,,,,,
CMJP-35,1414.960,-6684.760,173.410,606,0,-90,,,,,,,,
CMJP-36,1641.380,-7219.510,161.960,356.2,0,-90,,,,,,,,
CMJP-37,1129.910,-7637.510,162.020,412.5,0,-90,,,,,,,,
CMJP-38,473.950,-6159.900,167.960,664.65,0,-90,,,,,,,,
CMJP-39,1296.400,-7469.110,164.150,505.5,0,-90,,,,,,,,
CMJP-40,533.420,-6793.180,177.910,427.6,0,-90,,,,,,,,
CMJP-41,292.770,-7206.850,183.140,505.5,0,-90,,,,,,,,
CMJP-43,-176.369,-8084.529,182.554,399.44,0,-90,,,,,,,,
CMJP-44,-50.382,-7469.143,182.665,646.6,0,-90,,,,,,,,
CMJP-46,1650.470,-8674.530,178.575,587.5,0,-90,,,,,,,,
CMJP-47,947.350,-7285.390,172.868,376.2,0,-90,,,,,,,,
CMJP-48,1168.818,-7134.696,174.473,541.5,0,-90,,,,,,,,
CMJP-49,1877.650,-8377.740,173.360,558.3,0,-90,,,,,,,,
CMJP-50,2024.920,-7925.070,166.550,174.6,0,-90,,,,,,,,
CMJP-51,340.885,-6675.510,176.330,661.5,0,-90,,,,,,,,
CMJP-52,-223.560,-6582.350,174.110,559.5,0,-90,,,,,,,,
CMJP-53,1934.640,-7566.150,163.870,334.55,0,-90,,,,,,,,
CMJP-54,1365.520,-7749.900,166.940,370,0,-90,,,,,,,,
CMJP-62,2098.120,-7099.320,165.920,484.2,0,-90,,,,,,,,
CMJP-64,2531.030,-7198.410,161.580,184,0,-90,,,,,,,,
CMJP-65,2592.890,-7348.240,157.350,215,0,-90,,,,,,,,
CMJP-68,2634.680,-7447.260,156.770,212,0,-90,,,,,,,,
CMJP-74,79.910,-7283.290,183.900,419.9,0,-90,,,,,,,,
CMJP-75,-474.730,-7996.950,183.770,539,0,-90,,,,,,,,
CMJP-76,1301.630,-6756.400,173.750,259,0,-90,,,,,,,,
NCJP-01,645.441,-7652.982,173.593,717.5,0,-90,,,,,,,,
NCJP-02,1943.297,-7243.66,161.313,696.16,0,-90,,,,,,,,
NCJP-04,-264.369,-7252.903,176.188,769.68,0,-90,,,,,,,,
NCJP-05,2518.151,-8501.826,162.048,832.1,0,-90,,,,,,,,
NCJP-07,1031.127,-6666.679,180.428,827.95,0,-90,,,,,,,,
NCJP-08,-674.023,-7076.948,177.053,886.55,0,-90,,,,,,,,
NCJP-09,2864.068,-7555.48,158.363,714.48,0,-90,,,,,,,,
NCJP-13,2064.234,-8313.543,169.018,654.94,0,-90,,,,,,,,
NCJP-16,1107.11,-7901.742,167.093,827.88,0,-90,,,,,,,,
NCJP-18,2474.16,-7368.235,156.923,801.45,0,-90,,,,,,,,
NCJP-19,1495.373,-6924.816,167.973,749.32,0,-90,,,,,,,,
NCJP-22,634.005,-6558.776,171.013,633.05,0,-90,,,,,,,,
NCJP-23,92.489,-6309.74,170.613,877.87,0,-90,,,,,,,,
NCJP-26,437.287,-7019.462,182.003,770.15,0,-90,,,,,,,,
NCJP-27,826.947,-6093.203,172.637,782.18,0,-90,,,,,,,,
NCJP-28,2501.371,-7939.17,157.633,708.5,0,-90,,,,,,,,
NCJP-29,1528.607,-7499.97,160.373,685.48,0,-90,,,,,,,,
NCJP-31,504.38,-8089.834,172.708,778.85,0,-90,,,,,,,,
NCJP-35,142.292,-7613.186,178.703,761,0,-90,,,,,,,,
NCJP-36,2003.8,-7749.501,165.083,644.14,0,-90,,,,,,,,
NCJP-37,1377.217,-8545.791,177.763,489.75,0,-90,,,,,,,,
NCJP-39,-446.678,-7677.448,177.203,337.33,0,-90,,,,,,,,
NCJP-44,2122.386,-6872.827,170.738,694.64,0,-90,,,,,,,,
NCJP-45,833.187,-7176.376,176.453,474.76,0,-90,,,,,,,,
NCJP-46,-9.583,-6806.162,181.789,317,0,-90,,,,,,,,
NCJP-S1,651.47,-7807.137,169.14,153.9,0,-90,,,,,,,,
NCJP-S2,1058.974,-7369.823,169.13,554.32,0,-90,,,,,,,,
JFT-1,1564.002,-8104.577,170.523,768.07,0,-90,,,,,,,,
JFT-2,1691.382,-6667.582,174.668,1135.68,0,-90,,,,,,,,
JFT-3,256.288,-7475.183,177.998,1135,0,-90,,,,,,,,
AM-7A,2824.84,-8200.11,152.76,728.25,0,-90,,,,,,,,
